,Country ISO3,Country Name,Indicator,Subindicator Type,Year,value,Dataset,Lneding group,Region
429,BRB,Barbados,Rule of Law,Estimate,1996,1.05,WDI,..,Latin America & Caribbean
441,BRN,Brunei Darussalam,Rule of Law,Estimate,1996,0.82,WDI,..,East Asia & Pacific
456,BTN,Bhutan,Rule of Law,Estimate,1996,-0.03,WDI,IDA,South Asia
475,BWA,Botswana,Rule of Law,Estimate,1996,0.58,WDI,IBRD,Sub-Saharan Africa
491,CAF,Central African Republic,Rule of Law,Estimate,1996,-1.15,WDI,IDA,Sub-Saharan Africa
506,CAN,Canada,Rule of Law,Estimate,1996,1.65,WDI,..,North America
518,CHE,Switzerland,Rule of Law,Estimate,1996,1.93,WDI,..,Europe & Central Asia
537,CHL,Chile,Rule of Law,Estimate,1996,1.11,WDI,IBRD,Latin America & Caribbean
556,CHN,China,Rule of Law,Estimate,1996,-0.55,WDI,IBRD,East Asia & Pacific
576,CIV,Cote d'Ivoire,Rule of Law,Estimate,1996,-0.79,WDI,IDA,Sub-Saharan Africa
596,CMR,Cameroon,Rule of Law,Estimate,1996,-1.44,WDI,Blend,Sub-Saharan Africa
611,COD,"Congo, Dem. Rep.",Rule of Law,Estimate,1996,-1.88,WDI,IDA,Sub-Saharan Africa
626,COG,"Congo, Rep.",Rule of Law,Estimate,1996,-1.04,WDI,Blend,Sub-Saharan Africa
645,COL,Colombia,Rule of Law,Estimate,1996,-0.75,WDI,IBRD,Latin America & Caribbean
657,COM,Comoros,Rule of Law,Estimate,1996,-0.88,WDI,IDA,Sub-Saharan Africa
672,CPV,Cabo Verde,Rule of Law,Estimate,1996,1.04,WDI,Blend,Sub-Saharan Africa
691,CRI,Costa Rica,Rule of Law,Estimate,1996,0.62,WDI,IBRD,Latin America & Caribbean
695,CUB,Cuba,Rule of Law,Estimate,1996,-1.14,WDI,..,Latin America & Caribbean
696,CYM,Cayman Islands,Rule of Law,Estimate,1996,1.46,WDI,..,Latin America & Caribbean
706,CYP,Cyprus,Rule of Law,Estimate,1996,0.86,WDI,..,Europe & Central Asia
725,CZE,Czech Republic,Rule of Law,Estimate,1996,0.92,WDI,..,Europe & Central Asia
741,DEU,Germany,Rule of Law,Estimate,1996,1.61,WDI,..,Europe & Central Asia
757,DJI,Djibouti,Rule of Law,Estimate,1996,-0.97,WDI,IDA,Middle East & North Africa
776,DMA,Dominica,Rule of Law,Estimate,1996,0.84,WDI,Blend,Latin America & Caribbean
792,DNK,Denmark,Rule of Law,Estimate,1996,1.82,WDI,..,Europe & Central Asia
812,DOM,Dominican Republic,Rule of Law,Estimate,1996,-0.52,WDI,IBRD,Latin America & Caribbean
826,DZA,Algeria,Rule of Law,Estimate,1996,-1.22,WDI,IBRD,Middle East & North Africa
845,ECU,Ecuador,Rule of Law,Estimate,1996,-0.45,WDI,IBRD,Latin America & Caribbean
865,EGY,"Egypt, Arab Rep.",Rule of Law,Estimate,1996,0,WDI,IBRD,Middle East & North Africa
881,ERI,Eritrea,Rule of Law,Estimate,1996,-0.66,WDI,IDA,Sub-Saharan Africa
896,ESP,Spain,Rule of Law,Estimate,1996,1.44,WDI,..,Europe & Central Asia
916,EST,Estonia,Rule of Law,Estimate,1996,0.57,WDI,..,Europe & Central Asia
936,ETH,Ethiopia,Rule of Law,Estimate,1996,-0.97,WDI,IDA,Sub-Saharan Africa
952,FIN,Finland,Rule of Law,Estimate,1996,1.91,WDI,..,Europe & Central Asia
968,FJI,Fiji,Rule of Law,Estimate,1996,0.32,WDI,IBRD,East Asia & Pacific
983,FRA,France,Rule of Law,Estimate,1996,1.48,WDI,..,Europe & Central Asia
995,FSM,"Micronesia, Fed. Sts.",Rule of Law,Estimate,1996,0.81,WDI,IDA,East Asia & Pacific
1009,GAB,Gabon,Rule of Law,Estimate,1996,-0.65,WDI,IBRD,Sub-Saharan Africa
1024,GBR,United Kingdom,Rule of Law,Estimate,1996,1.63,WDI,..,Europe & Central Asia
1044,GEO,Georgia,Rule of Law,Estimate,1996,-1.26,WDI,IBRD,Europe & Central Asia
1064,GHA,Ghana,Rule of Law,Estimate,1996,-0.23,WDI,IDA,Sub-Saharan Africa
1080,GIN,Guinea,Rule of Law,Estimate,1996,-1.45,WDI,IDA,Sub-Saharan Africa
1095,GMB,"Gambia, The",Rule of Law,Estimate,1996,0.02,WDI,IDA,Sub-Saharan Africa
1110,GNB,Guinea-Bissau,Rule of Law,Estimate,1996,-1.67,WDI,IDA,Sub-Saharan Africa
1121,GNQ,Equatorial Guinea,Rule of Law,Estimate,1996,-1.28,WDI,IBRD,Sub-Saharan Africa
1136,GRC,Greece,Rule of Law,Estimate,1996,1.05,WDI,..,Europe & Central Asia
1155,GRD,Grenada,Rule of Law,Estimate,1996,0.43,WDI,Blend,Latin America & Caribbean
1176,GTM,Guatemala,Rule of Law,Estimate,1996,-1.13,WDI,IBRD,Latin America & Caribbean
1197,GUY,Guyana,Rule of Law,Estimate,1996,-0.2,WDI,IDA,Latin America & Caribbean
1210,HKG,"Hong Kong SAR, China",Rule of Law,Estimate,1996,0.75,WDI,..,East Asia & Pacific
1230,HND,Honduras,Rule of Law,Estimate,1996,-0.93,WDI,IDA,Latin America & Caribbean
1250,HRV,Croatia,Rule of Law,Estimate,1996,-0.63,WDI,IBRD,Europe & Central Asia
1262,HTI,Haiti,Rule of Law,Estimate,1996,-1.39,WDI,IDA,Latin America & Caribbean
1281,HUN,Hungary,Rule of Law,Estimate,1996,0.91,WDI,..,Europe & Central Asia
1300,IDN,Indonesia,Rule of Law,Estimate,1996,-0.49,WDI,IBRD,East Asia & Pacific
1319,IND,India,Rule of Law,Estimate,1996,0.31,WDI,IBRD,South Asia
1331,IRL,Ireland,Rule of Law,Estimate,1996,1.5,WDI,..,Europe & Central Asia
1346,IRN,"Iran, Islamic Rep.",Rule of Law,Estimate,1996,-0.94,WDI,IBRD,Middle East & North Africa
1361,IRQ,Iraq,Rule of Law,Estimate,1996,-1.56,WDI,IBRD,Middle East & North Africa
1372,ISL,Iceland,Rule of Law,Estimate,1996,1.6,WDI,..,Europe & Central Asia
1387,ISR,Israel,Rule of Law,Estimate,1996,1.28,WDI,..,Middle East & North Africa
1402,ITA,Italy,Rule of Law,Estimate,1996,1.06,WDI,..,Europe & Central Asia
1422,JAM,Jamaica,Rule of Law,Estimate,1996,-0.34,WDI,IBRD,Latin America & Caribbean
1442,JOR,Jordan,Rule of Law,Estimate,1996,0.28,WDI,IBRD,Middle East & North Africa
1457,JPN,Japan,Rule of Law,Estimate,1996,1.35,WDI,..,East Asia & Pacific
1477,KAZ,Kazakhstan,Rule of Law,Estimate,1996,-1.19,WDI,IBRD,Europe & Central Asia
1497,KEN,Kenya,Rule of Law,Estimate,1996,-1.02,WDI,Blend,Sub-Saharan Africa
1517,KGZ,Kyrgyz Republic,Rule of Law,Estimate,1996,-0.73,WDI,IDA,Europe & Central Asia
1537,KHM,Cambodia,Rule of Law,Estimate,1996,-1.19,WDI,IDA,East Asia & Pacific
1549,KIR,Kiribati,Rule of Law,Estimate,1996,0.81,WDI,IDA,East Asia & Pacific
1567,KNA,St. Kitts and Nevis,Rule of Law,Estimate,1996,0.81,WDI,IBRD,Latin America & Caribbean
1583,KOR,"Korea, Rep.",Rule of Law,Estimate,1996,0.8,WDI,..,East Asia & Pacific
1610,KWT,Kuwait,Rule of Law,Estimate,1996,0.6,WDI,..,Middle East & North Africa
1625,LAO,Lao PDR,Rule of Law,Estimate,1996,-1.05,WDI,IDA,East Asia & Pacific
1644,LBN,Lebanon,Rule of Law,Estimate,1996,-0.28,WDI,IBRD,Middle East & North Africa
1664,LBR,Liberia,Rule of Law,Estimate,1996,-1.93,WDI,IDA,Sub-Saharan Africa
1672,LBY,Libya,Rule of Law,Estimate,1996,-1.18,WDI,IBRD,Middle East & North Africa
1690,LCA,St. Lucia,Rule of Law,Estimate,1996,0.81,WDI,Blend,Latin America & Caribbean
1693,LIE,Liechtenstein,Rule of Law,Estimate,1996,1.47,WDI,..,Europe & Central Asia
1711,LKA,Sri Lanka,Rule of Law,Estimate,1996,0.16,WDI,IBRD,South Asia
1727,LSO,Lesotho,Rule of Law,Estimate,1996,0.1,WDI,IDA,Sub-Saharan Africa
1742,LTU,Lithuania,Rule of Law,Estimate,1996,0.45,WDI,..,Europe & Central Asia
1753,LUX,Luxembourg,Rule of Law,Estimate,1996,1.71,WDI,..,Europe & Central Asia
1768,LVA,Latvia,Rule of Law,Estimate,1996,0.13,WDI,..,Europe & Central Asia
1771,MAC,"Macao SAR, China",Rule of Law,Estimate,1996,0.21,WDI,..,East Asia & Pacific
1789,MAR,Morocco,Rule of Law,Estimate,1996,0.22,WDI,IBRD,Middle East & North Africa
1792,MCO,Monaco,Rule of Law,Estimate,1996,0.81,WDI,..,Europe & Central Asia
1810,MDA,Moldova,Rule of Law,Estimate,1996,-0.12,WDI,Blend,Europe & Central Asia
1830,MDG,Madagascar,Rule of Law,Estimate,1996,-0.4,WDI,IDA,Sub-Saharan Africa
1842,MDV,Maldives,Rule of Law,Estimate,1996,0.02,WDI,IDA,South Asia
1860,MEX,Mexico,Rule of Law,Estimate,1996,-0.73,WDI,IBRD,Latin America & Caribbean
1868,MHL,Marshall Islands,Rule of Law,Estimate,1996,-0.2,WDI,IDA,East Asia & Pacific
1886,MKD,"Macedonia, FYR",Rule of Law,Estimate,1996,-0.31,WDI,IBRD,Europe & Central Asia
1902,MLI,Mali,Rule of Law,Estimate,1996,-0.3,WDI,IDA,Sub-Saharan Africa
1913,MLT,Malta,Rule of Law,Estimate,1996,1.05,WDI,..,Middle East & North Africa
1932,MMR,Myanmar,Rule of Law,Estimate,1996,-1.58,WDI,IDA,East Asia & Pacific
1967,MNG,Mongolia,Rule of Law,Estimate,1996,0.2,WDI,Blend,East Asia & Pacific
1983,MOZ,Mozambique,Rule of Law,Estimate,1996,-0.81,WDI,IDA,Sub-Saharan Africa
1998,MRT,Mauritania,Rule of Law,Estimate,1996,-0.5,WDI,IDA,Sub-Saharan Africa
2013,MUS,Mauritius,Rule of Law,Estimate,1996,0.9,WDI,IBRD,Sub-Saharan Africa
2032,MWI,Malawi,Rule of Law,Estimate,1996,-0.38,WDI,IDA,Sub-Saharan Africa
2052,MYS,Malaysia,Rule of Law,Estimate,1996,0.52,WDI,IBRD,East Asia & Pacific
2068,NAM,Namibia,Rule of Law,Estimate,1996,0.25,WDI,IBRD,Sub-Saharan Africa
2083,NER,Niger,Rule of Law,Estimate,1996,-0.66,WDI,IDA,Sub-Saharan Africa
2101,NGA,Nigeria,Rule of Law,Estimate,1996,-1.29,WDI,Blend,Sub-Saharan Africa
2121,NIC,Nicaragua,Rule of Law,Estimate,1996,-0.52,WDI,IDA,Latin America & Caribbean
2137,NLD,Netherlands,Rule of Law,Estimate,1996,1.7,WDI,..,Europe & Central Asia
2153,NOR,Norway,Rule of Law,Estimate,1996,1.92,WDI,..,Europe & Central Asia
2173,NPL,Nepal,Rule of Law,Estimate,1996,-0.01,WDI,IDA,South Asia
2176,NRU,Nauru,Rule of Law,Estimate,1996,0.81,WDI,IBRD,East Asia & Pacific
2190,NZL,New Zealand,Rule of Law,Estimate,1996,1.86,WDI,..,East Asia & Pacific
2202,OMN,Oman,Rule of Law,Estimate,1996,0.55,WDI,..,Middle East & North Africa
2220,PAK,Pakistan,Rule of Law,Estimate,1996,-0.63,WDI,Blend,South Asia
2240,PAN,Panama,Rule of Law,Estimate,1996,-0.17,WDI,IBRD,Latin America & Caribbean
2260,PER,Peru,Rule of Law,Estimate,1996,-0.7,WDI,IBRD,Latin America & Caribbean
2280,PHL,Philippines,Rule of Law,Estimate,1996,0.07,WDI,IBRD,East Asia & Pacific
2291,PLW,Palau,Rule of Law,Estimate,1996,0.81,WDI,IBRD,East Asia & Pacific
2306,PNG,Papua New Guinea,Rule of Law,Estimate,1996,-0.62,WDI,Blend,East Asia & Pacific
2325,POL,Poland,Rule of Law,Estimate,1996,0.77,WDI,IBRD,Europe & Central Asia
2336,PRI,Puerto Rico,Rule of Law,Estimate,1996,0.96,WDI,..,Latin America & Caribbean
2339,PRK,"Korea, Dem. People’s Rep.",Rule of Law,Estimate,1996,-1.15,WDI,..,East Asia & Pacific
2353,PRT,Portugal,Rule of Law,Estimate,1996,1.29,WDI,..,Europe & Central Asia
2369,PRY,Paraguay,Rule of Law,Estimate,1996,-0.66,WDI,IBRD,Latin America & Caribbean
2381,PSE,West Bank and Gaza,Rule of Law,Estimate,1996,-0.04,WDI,..,Middle East & North Africa
2392,QAT,Qatar,Rule of Law,Estimate,1996,-0.04,WDI,..,Middle East & North Africa
2411,ROU,Romania,Rule of Law,Estimate,1996,-0.02,WDI,IBRD,Europe & Central Asia
2430,RUS,Russian Federation,Rule of Law,Estimate,1996,-0.79,WDI,IBRD,Europe & Central Asia
2446,RWA,Rwanda,Rule of Law,Estimate,1996,-1.5,WDI,IDA,Sub-Saharan Africa
2457,SAU,Saudi Arabia,Rule of Law,Estimate,1996,0.11,WDI,..,Middle East & North Africa
2472,SDN,Sudan,Rule of Law,Estimate,1996,-1.71,WDI,IDA,Sub-Saharan Africa
2491,SEN,Senegal,Rule of Law,Estimate,1996,-0.18,WDI,IDA,Sub-Saharan Africa
2507,SGP,Singapore,Rule of Law,Estimate,1996,1.24,WDI,..,East Asia & Pacific
2523,SLB,Solomon Islands,Rule of Law,Estimate,1996,0.74,WDI,IDA,East Asia & Pacific
2542,SLE,Sierra Leone,Rule of Law,Estimate,1996,-1.38,WDI,IDA,Sub-Saharan Africa
2562,SLV,El Salvador,Rule of Law,Estimate,1996,-0.87,WDI,IBRD,Latin America & Caribbean
2573,SMR,San Marino,Rule of Law,Estimate,1996,0.81,WDI,..,Europe & Central Asia
2583,SOM,Somalia,Rule of Law,Estimate,1996,-2.14,WDI,IDA,Sub-Saharan Africa
2602,SRB,Serbia,Rule of Law,Estimate,1996,-1.26,WDI,IBRD,Europe & Central Asia
2628,STP,Sao Tome and Principe,Rule of Law,Estimate,1996,0.27,WDI,IDA,Sub-Saharan Africa
2647,SUR,Suriname,Rule of Law,Estimate,1996,-0.08,WDI,IBRD,Latin America & Caribbean
2663,SVK,Slovak Republic,Rule of Law,Estimate,1996,0.16,WDI,..,Europe & Central Asia
2682,SVN,Slovenia,Rule of Law,Estimate,1996,1.07,WDI,..,Europe & Central Asia
2702,SWE,Sweden,Rule of Law,Estimate,1996,1.8,WDI,..,Europe & Central Asia
2718,SWZ,Swaziland,Rule of Law,Estimate,1996,-0.47,WDI,IBRD,Sub-Saharan Africa
2729,SYC,Seychelles,Rule of Law,Estimate,1996,0.6,WDI,IBRD,Sub-Saharan Africa
2742,SYR,Syrian Arab Republic,Rule of Law,Estimate,1996,-0.55,WDI,IDA,Middle East & North Africa
2757,TCD,Chad,Rule of Law,Estimate,1996,-1.26,WDI,IDA,Sub-Saharan Africa
2772,TGO,Togo,Rule of Law,Estimate,1996,-0.73,WDI,IDA,Sub-Saharan Africa
2791,THA,Thailand,Rule of Law,Estimate,1996,0.54,WDI,IBRD,East Asia & Pacific
2807,TJK,Tajikistan,Rule of Law,Estimate,1996,-1.65,WDI,IDA,Europe & Central Asia
2810,TKM,Turkmenistan,Rule of Law,Estimate,1996,-1.49,WDI,IBRD,Europe & Central Asia
2821,TLS,Timor-Leste,Rule of Law,Estimate,1996,-1.57,WDI,Blend,East Asia & Pacific
2835,TON,Tonga,Rule of Law,Estimate,1996,0.81,WDI,IDA,East Asia & Pacific
2854,TTO,Trinidad and Tobago,Rule of Law,Estimate,1996,0.53,WDI,IBRD,Latin America & Caribbean
2874,TUN,Tunisia,Rule of Law,Estimate,1996,-0.3,WDI,IBRD,Middle East & North Africa
2894,TUR,Turkey,Rule of Law,Estimate,1996,-0.14,WDI,IBRD,Europe & Central Asia
2897,TUV,Tuvalu,Rule of Law,Estimate,1996,0.81,WDI,IDA,East Asia & Pacific
2915,TZA,Tanzania,Rule of Law,Estimate,1996,-0.19,WDI,IDA,Sub-Saharan Africa
2935,UGA,Uganda,Rule of Law,Estimate,1996,-0.58,WDI,IDA,Sub-Saharan Africa
2955,UKR,Ukraine,Rule of Law,Estimate,1996,-0.82,WDI,IBRD,Europe & Central Asia
2975,URY,Uruguay,Rule of Law,Estimate,1996,0.56,WDI,IBRD,Latin America & Caribbean
2990,USA,United States,Rule of Law,Estimate,1996,1.5,WDI,..,North America
3010,UZB,Uzbekistan,Rule of Law,Estimate,1996,-1.24,WDI,Blend,Europe & Central Asia
3030,VCT,St. Vincent and the Grenadines,Rule of Law,Estimate,1996,0.81,WDI,Blend,Latin America & Caribbean
3050,VEN,"Venezuela, RB",Rule of Law,Estimate,1996,-0.75,WDI,IBRD,Latin America & Caribbean
3071,VNM,Vietnam,Rule of Law,Estimate,1996,-0.48,WDI,IBRD,East Asia & Pacific
3087,VUT,Vanuatu,Rule of Law,Estimate,1996,0.32,WDI,IDA,East Asia & Pacific
3102,WSM,Samoa,Rule of Law,Estimate,1996,0.95,WDI,IDA,East Asia & Pacific
3117,YEM,"Yemen, Rep.",Rule of Law,Estimate,1996,-1.38,WDI,IDA,Middle East & North Africa
3136,ZAF,South Africa,Rule of Law,Estimate,1996,0.09,WDI,IBRD,Sub-Saharan Africa
3156,ZMB,Zambia,Rule of Law,Estimate,1996,-0.53,WDI,IDA,Sub-Saharan Africa
3176,ZWE,Zimbabwe,Rule of Law,Estimate,1996,-0.81,WDI,Blend,Sub-Saharan Africa
3197,AFG,Afghanistan,Rule of Law,Estimate,1998,-1.74,WDI,IDA,South Asia
3213,AGO,Angola,Rule of Law,Estimate,1998,-1.7,WDI,IBRD,Sub-Saharan Africa
3232,ALB,Albania,Rule of Law,Estimate,1998,-0.92,WDI,IBRD,Europe & Central Asia
3235,AND,Andorra,Rule of Law,Estimate,1998,1.21,WDI,..,Europe & Central Asia
3249,ARE,United Arab Emirates,Rule of Law,Estimate,1998,0.75,WDI,..,Middle East & North Africa
3269,ARG,Argentina,Rule of Law,Estimate,1998,-0.01,WDI,IBRD,Latin America & Caribbean
3285,ARM,Armenia,Rule of Law,Estimate,1998,-0.36,WDI,IBRD,Europe & Central Asia
3304,ATG,Antigua and Barbuda,Rule of Law,Estimate,1998,1.09,WDI,IBRD,Latin America & Caribbean
3320,AUS,Australia,Rule of Law,Estimate,1998,1.8,WDI,..,East Asia & Pacific
3336,AUT,Austria,Rule of Law,Estimate,1998,1.85,WDI,..,Europe & Central Asia
3352,AZE,Azerbaijan,Rule of Law,Estimate,1998,-1.14,WDI,IBRD,Europe & Central Asia
3367,BDI,Burundi,Rule of Law,Estimate,1998,-1.23,WDI,IDA,Sub-Saharan Africa
3382,BEL,Belgium,Rule of Law,Estimate,1998,1.25,WDI,..,Europe & Central Asia
3398,BEN,Benin,Rule of Law,Estimate,1998,0.04,WDI,IDA,Sub-Saharan Africa
3417,BFA,Burkina Faso,Rule of Law,Estimate,1998,-0.75,WDI,IDA,Sub-Saharan Africa
3436,BGD,Bangladesh,Rule of Law,Estimate,1998,-0.89,WDI,IDA,South Asia
3456,BGR,Bulgaria,Rule of Law,Estimate,1998,-0.21,WDI,IBRD,Europe & Central Asia
3468,BHR,Bahrain,Rule of Law,Estimate,1998,0.38,WDI,..,Middle East & North Africa
3487,BHS,"Bahamas, The",Rule of Law,Estimate,1998,1.3,WDI,..,Latin America & Caribbean
3507,BIH,Bosnia and Herzegovina,Rule of Law,Estimate,1998,-0.64,WDI,IBRD,Europe & Central Asia
3527,BLR,Belarus,Rule of Law,Estimate,1998,-0.93,WDI,IBRD,Europe & Central Asia
3547,BLZ,Belize,Rule of Law,Estimate,1998,-0.04,WDI,IBRD,Latin America & Caribbean
3550,BMU,Bermuda,Rule of Law,Estimate,1998,1.25,WDI,..,North America
3568,BOL,Bolivia,Rule of Law,Estimate,1998,-0.22,WDI,IBRD,Latin America & Caribbean
3587,BRA,Brazil,Rule of Law,Estimate,1998,-0.19,WDI,IBRD,Latin America & Caribbean
3607,BRB,Barbados,Rule of Law,Estimate,1998,1.27,WDI,..,Latin America & Caribbean
3619,BRN,Brunei Darussalam,Rule of Law,Estimate,1998,0.56,WDI,..,East Asia & Pacific
3634,BTN,Bhutan,Rule of Law,Estimate,1998,0.16,WDI,IDA,South Asia
3653,BWA,Botswana,Rule of Law,Estimate,1998,0.68,WDI,IBRD,Sub-Saharan Africa
3669,CAF,Central African Republic,Rule of Law,Estimate,1998,-1.18,WDI,IDA,Sub-Saharan Africa
3684,CAN,Canada,Rule of Law,Estimate,1998,1.76,WDI,..,North America
3696,CHE,Switzerland,Rule of Law,Estimate,1998,1.97,WDI,..,Europe & Central Asia
3715,CHL,Chile,Rule of Law,Estimate,1998,1.18,WDI,IBRD,Latin America & Caribbean
3734,CHN,China,Rule of Law,Estimate,1998,-0.46,WDI,IBRD,East Asia & Pacific
3754,CIV,Cote d'Ivoire,Rule of Law,Estimate,1998,-0.88,WDI,IDA,Sub-Saharan Africa
3774,CMR,Cameroon,Rule of Law,Estimate,1998,-1.07,WDI,Blend,Sub-Saharan Africa
3789,COD,"Congo, Dem. Rep.",Rule of Law,Estimate,1998,-2.13,WDI,IDA,Sub-Saharan Africa
3804,COG,"Congo, Rep.",Rule of Law,Estimate,1998,-1.65,WDI,Blend,Sub-Saharan Africa
3823,COL,Colombia,Rule of Law,Estimate,1998,-0.64,WDI,IBRD,Latin America & Caribbean
3835,COM,Comoros,Rule of Law,Estimate,1998,-1.09,WDI,IDA,Sub-Saharan Africa
3850,CPV,Cabo Verde,Rule of Law,Estimate,1998,0.83,WDI,Blend,Sub-Saharan Africa
3869,CRI,Costa Rica,Rule of Law,Estimate,1998,0.75,WDI,IBRD,Latin America & Caribbean
3873,CUB,Cuba,Rule of Law,Estimate,1998,-1.04,WDI,..,Latin America & Caribbean
3874,CYM,Cayman Islands,Rule of Law,Estimate,1998,1.5,WDI,..,Latin America & Caribbean
3884,CYP,Cyprus,Rule of Law,Estimate,1998,0.98,WDI,..,Europe & Central Asia
3903,CZE,Czech Republic,Rule of Law,Estimate,1998,0.92,WDI,..,Europe & Central Asia
3919,DEU,Germany,Rule of Law,Estimate,1998,1.66,WDI,..,Europe & Central Asia
3935,DJI,Djibouti,Rule of Law,Estimate,1998,-0.85,WDI,IDA,Middle East & North Africa
3954,DMA,Dominica,Rule of Law,Estimate,1998,0.68,WDI,Blend,Latin America & Caribbean
3970,DNK,Denmark,Rule of Law,Estimate,1998,1.88,WDI,..,Europe & Central Asia
3990,DOM,Dominican Republic,Rule of Law,Estimate,1998,-0.47,WDI,IBRD,Latin America & Caribbean
4004,DZA,Algeria,Rule of Law,Estimate,1998,-1.16,WDI,IBRD,Middle East & North Africa
4023,ECU,Ecuador,Rule of Law,Estimate,1998,-0.55,WDI,IBRD,Latin America & Caribbean
4043,EGY,"Egypt, Arab Rep.",Rule of Law,Estimate,1998,-0.04,WDI,IBRD,Middle East & North Africa
4059,ERI,Eritrea,Rule of Law,Estimate,1998,-0.42,WDI,IDA,Sub-Saharan Africa
4074,ESP,Spain,Rule of Law,Estimate,1998,1.34,WDI,..,Europe & Central Asia
4094,EST,Estonia,Rule of Law,Estimate,1998,0.66,WDI,..,Europe & Central Asia
4114,ETH,Ethiopia,Rule of Law,Estimate,1998,-0.8,WDI,IDA,Sub-Saharan Africa
4130,FIN,Finland,Rule of Law,Estimate,1998,2,WDI,..,Europe & Central Asia
4146,FJI,Fiji,Rule of Law,Estimate,1998,0.22,WDI,IBRD,East Asia & Pacific
4161,FRA,France,Rule of Law,Estimate,1998,1.4,WDI,..,Europe & Central Asia
4173,FSM,"Micronesia, Fed. Sts.",Rule of Law,Estimate,1998,0.42,WDI,IDA,East Asia & Pacific
4187,GAB,Gabon,Rule of Law,Estimate,1998,-0.35,WDI,IBRD,Sub-Saharan Africa
4202,GBR,United Kingdom,Rule of Law,Estimate,1998,1.78,WDI,..,Europe & Central Asia
4222,GEO,Georgia,Rule of Law,Estimate,1998,-1.24,WDI,IBRD,Europe & Central Asia
4242,GHA,Ghana,Rule of Law,Estimate,1998,-0.28,WDI,IDA,Sub-Saharan Africa
4258,GIN,Guinea,Rule of Law,Estimate,1998,-1.2,WDI,IDA,Sub-Saharan Africa
4273,GMB,"Gambia, The",Rule of Law,Estimate,1998,-0.06,WDI,IDA,Sub-Saharan Africa
4288,GNB,Guinea-Bissau,Rule of Law,Estimate,1998,-1.8,WDI,IDA,Sub-Saharan Africa
4299,GNQ,Equatorial Guinea,Rule of Law,Estimate,1998,-1.55,WDI,IBRD,Sub-Saharan Africa
4314,GRC,Greece,Rule of Law,Estimate,1998,0.81,WDI,..,Europe & Central Asia
4333,GRD,Grenada,Rule of Law,Estimate,1998,0.51,WDI,Blend,Latin America & Caribbean
4354,GTM,Guatemala,Rule of Law,Estimate,1998,-1.07,WDI,IBRD,Latin America & Caribbean
4375,GUY,Guyana,Rule of Law,Estimate,1998,-0.29,WDI,IDA,Latin America & Caribbean
4388,HKG,"Hong Kong SAR, China",Rule of Law,Estimate,1998,1.02,WDI,..,East Asia & Pacific
4408,HND,Honduras,Rule of Law,Estimate,1998,-0.92,WDI,IDA,Latin America & Caribbean
